date,description,amount
2024-01-01,NETFLIX SUBSCRIPTION,649
2024-01-03,SPOTIFY PREMIUM,119
2024-01-05,AMAZON PRIME,1499
2024-01-07,SWIGGY ONE SUBSCRIPTION,299
2024-01-10,YOUTUBE PREMIUM,129
2024-01-12,ADOBE CREATIVE CLOUD,4999
2024-01-15,GITHUB PRO,840
2024-01-17,NOTION PLUS,600
2024-01-20,FIGMA PROFESSIONAL,1200
2024-01-22,SLACK PRO,730
2024-01-25,ZOOM PRO,1500
2024-01-28,GRAMMARLY PREMIUM,800
2024-02-01,NETFLIX SUBSCRIPTION,649
2024-02-03,SPOTIFY PREMIUM,119
2024-02-05,AMAZON PRIME,1499
2024-02-07,SWIGGY ONE SUBSCRIPTION,299
2024-02-10,YOUTUBE PREMIUM,129
2024-02-12,ADOBE CREATIVE CLOUD,4999
2024-02-15,GITHUB PRO,840
2024-02-17,NOTION PLUS,600
2024-02-20,FIGMA PROFESSIONAL,1200
2024-02-22,SLACK PRO,730
2024-02-25,ZOOM PRO,1500
2024-02-28,GRAMMARLY PREMIUM,800
2024-03-01,NETFLIX SUBSCRIPTION,649
2024-03-03,SPOTIFY PREMIUM,119
2024-03-05,AMAZON PRIME,1499
2024-03-07,SWIGGY ONE SUBSCRIPTION,299
2024-03-10,YOUTUBE PREMIUM,129
2024-03-12,ADOBE CREATIVE CLOUD,4999
2024-03-15,GITHUB PRO,840
2024-03-17,NOTION PLUS,600
2024-03-20,FIGMA PROFESSIONAL,1200
2024-03-22,SLACK PRO,730
2024-03-25,ZOOM PRO,1500
2024-03-28,GRAMMARLY PREMIUM,800
2024-03-30,LINKEDIN PREMIUM,1500
2024-04-01,NETFLIX SUBSCRIPTION,649
2024-04-03,SPOTIFY PREMIUM,119
2024-04-05,AMAZON PRIME,1499
2024-04-07,SWIGGY ONE SUBSCRIPTION,299
2024-04-10,YOUTUBE PREMIUM,129
2024-04-12,ADOBE CREATIVE CLOUD,4999
2024-04-15,GITHUB PRO,840
2024-04-17,NOTION PLUS,600
2024-04-20,FIGMA PROFESSIONAL,1200
2024-04-22,SLACK PRO,730
2024-04-25,ZOOM PRO,1500
2024-04-28,GRAMMARLY PREMIUM,800
2024-04-30,LINKEDIN PREMIUM,1500
2024-05-01,NETFLIX SUBSCRIPTION,649
2024-05-03,SPOTIFY PREMIUM,119
2024-05-05,AMAZON PRIME,1499
2024-05-07,SWIGGY ONE SUBSCRIPTION,299
2024-05-10,YOUTUBE PREMIUM,129
2024-05-12,ADOBE CREATIVE CLOUD,4999
2024-05-15,GITHUB PRO,840
2024-05-17,NOTION PLUS,600
2024-05-20,FIGMA PROFESSIONAL,1200
2024-05-22,SLACK PRO,730
2024-05-25,ZOOM PRO,1500
2024-05-28,GRAMMARLY PREMIUM,800
2024-05-30,LINKEDIN PREMIUM,1500
